tumor_sample,closest_fetal_profile,distance,stage,tissue,cluster
TCGA-FY-A4B4-01,infant | testis,0.540856230741414,infant,testis,1
TCGA-76-4929-01,11 week post conception | hindbrain,0.6167609360184767,11 week post conception,hindbrain,2
TCGA-S9-A7QX-01,11 week post conception | hindbrain,0.5533333554910749,11 week post conception,hindbrain,1
TCGA-66-2737-01,5 week post conception | forebrain,0.6769266787737745,5 week post conception,forebrain,2
TCGA-A8-A0A2-01,16 week post conception | kidney,0.6341940890936799,16 week post conception,kidney,2
TCGA-4Z-AA80-01,5 week post conception | forebrain,0.6024568423199985,5 week post conception,forebrain,2
TCGA-A2-A1FW-01,7 week post conception | hindbrain,0.5872967358935208,7 week post conception,hindbrain,2
TCGA-58-8388-01,4 week post conception | testis,0.6258880041746833,4 week post conception,testis,2
TCGA-HT-7478-01,13 week post conception | hindbrain,0.4629701397656196,13 week post conception,hindbrain,1
TCGA-E8-A416-01,infant | testis,0.47192749382533816,infant,testis,1
TCGA-ED-A8O5-01,middle adult | liver,0.7399594152939526,middle adult,liver,3
TCGA-EQ-A4SO-01,7 week post conception | liver,0.7434348390733138,7 week post conception,liver,0
TCGA-QH-A6X3-01,10 week post conception | hindbrain,0.5029403307025694,10 week post conception,hindbrain,1
TCGA-FB-A78T-01,neonate | kidney,0.6177520482558262,neonate,kidney,1
TCGA-D7-6527-01,7 week post conception | liver,0.6371332495694717,7 week post conception,liver,0
TCGA-DQ-7591-01,5 week post conception | forebrain,0.5466453291004378,5 week post conception,forebrain,2
TCGA-BH-A18N-01,6 week post conception | ovary,0.6679803958182517,6 week post conception,ovary,2
TCGA-86-8075-01,16 week post conception | heart,0.7205603419533007,16 week post conception,heart,2
TCGA-A1-A0SN-01,16 week post conception | kidney,0.7040599466422449,16 week post conception,kidney,2
TCGA-21-5787-01,10 week post conception | liver,0.5961034774121583,10 week post conception,liver,0
TCGA-98-A539-01,4 week post conception | forebrain,0.72061134262943,4 week post conception,forebrain,0
TCGA-ET-A39P-01,infant | testis,0.5768719736384424,infant,testis,1
TCGA-P3-A6SX-01,4 week post conception | forebrain,0.7103381901171064,4 week post conception,forebrain,0
TCGA-A6-6780-01,4 week post conception | hindbrain,0.5522115848089924,4 week post conception,hindbrain,0
TCGA-J4-A67S-01,infant | testis,0.5317752860838225,infant,testis,1
TCGA-VQ-A91K-01,7 week post conception | liver,0.7916173709998127,7 week post conception,liver,2
TCGA-41-4097-01,16 week post conception | hindbrain,0.5500435372763511,16 week post conception,hindbrain,1
TCGA-2Z-A9JM-01,infant | testis,0.5377765938838358,infant,testis,1
TCGA-CV-A6JZ-01,10 week post conception | liver,0.5887094978951775,10 week post conception,liver,0
TCGA-EB-A51B-01,7 week post conception | forebrain,0.6959681290693746,7 week post conception,forebrain,2
TCGA-DW-5561-01,infant | testis,0.6060112693304618,infant,testis,1
TCGA-CV-7178-01,7 week post conception | liver,0.6993224113004917,7 week post conception,liver,2
TCGA-BQ-5894-01,4 week post conception | kidney,0.7885767758443971,4 week post conception,kidney,2
TCGA-VS-A94W-01,7 week post conception | kidney,0.5908235079098255,7 week post conception,kidney,2
TCGA-18-3416-01,5 week post conception | forebrain,0.557550602228565,5 week post conception,forebrain,2
TCGA-BT-A20N-01,5 week post conception | forebrain,0.5955204442322951,5 week post conception,forebrain,2
TCGA-DX-AB2F-01,5 week post conception | testis,0.8082708410838741,5 week post conception,testis,0
TCGA-F4-6703-01,5 week post conception | heart,0.6081272697853107,5 week post conception,heart,0
TCGA-69-7974-01,5 week post conception | heart,0.7301966153775139,5 week post conception,heart,2
TCGA-24-1422-01,16 week post conception | kidney,0.7853695732281069,16 week post conception,kidney,0
TCGA-A7-A3J0-01,11 week post conception | hindbrain,0.6989161925749978,11 week post conception,hindbrain,2
TCGA-GR-7353-01,9 week post conception | liver,0.5433510929074494,9 week post conception,liver,0
TCGA-IE-A4EK-01,16 week post conception | heart,0.6859206317558526,16 week post conception,heart,1
TCGA-EL-A3ZQ-01,infant | testis,0.5936578754704984,infant,testis,3
TCGA-ET-A40S-01,infant | testis,0.474675651248457,infant,testis,1
TCGA-DD-AA3A-01,8 week post conception | testis,0.7916707540298182,8 week post conception,testis,0
TCGA-D8-A27P-01,16 week post conception | kidney,0.5512235773537745,16 week post conception,kidney,2
TCGA-KS-A4I9-01,infant | testis,0.5129593807757791,infant,testis,1
TCGA-29-1690-01,19 week post conception | kidney,0.7483596321111288,19 week post conception,kidney,1
TCGA-EJ-5509-01,13 week post conception | hindbrain,0.6476141246668551,13 week post conception,hindbrain,1
TCGA-SX-A7SN-01,infant | testis,0.5132447179813928,infant,testis,1
TCGA-EJ-5532-01,12 week post conception | hindbrain,0.6191115729369803,12 week post conception,hindbrain,1
TCGA-TM-A84S-01,11 week post conception | hindbrain,0.4670070722862235,11 week post conception,hindbrain,1
TCGA-IB-8126-01,school age child | kidney,0.4401247855938918,school age child,kidney,3
TCGA-DJ-A2PQ-01,infant | testis,0.5219461791425826,infant,testis,1
TCGA-KO-8404-01,8 week post conception | testis,0.6580575019011002,8 week post conception,testis,0
TCGA-BH-A0HN-01,8 week post conception | testis,0.714826551973892,8 week post conception,testis,1
TCGA-G9-7522-01,infant | testis,0.5479609634248044,infant,testis,1
TCGA-KL-8342-01,neonate | kidney,0.601078667349454,neonate,kidney,3
TCGA-HT-7691-01,neonate | forebrain,0.4803620359118783,neonate,forebrain,1
TCGA-2G-AAHP-01,12 week post conception | ovary,0.5811609341107467,12 week post conception,ovary,0
TCGA-43-7657-01,5 week post conception | forebrain,0.7935960224366869,5 week post conception,forebrain,0
TCGA-DD-A4NP-01,toddler | liver,0.5561748664329436,toddler,liver,3
TCGA-TQ-A7RK-01,9 week post conception | hindbrain,0.5638927673050984,9 week post conception,hindbrain,1
TCGA-BH-A0DI-01,16 week post conception | testis,0.6685672247646002,16 week post conception,testis,2
TCGA-OR-A5L3-01,young adult | heart,0.704011804709092,young adult,heart,3
TCGA-EU-5907-01,19 week post conception | kidney,0.5986616053570836,19 week post conception,kidney,1
TCGA-CJ-5686-01,19 week post conception | kidney,0.538704023232387,19 week post conception,kidney,1
TCGA-XF-AAN8-01,infant | testis,0.6321256674934237,infant,testis,1
TCGA-DU-7010-01,7 week post conception | hindbrain,0.67280139331815,7 week post conception,hindbrain,2
TCGA-BR-6453-01,middle adult | heart,0.6162306989575785,middle adult,heart,0
TCGA-A6-A567-01,10 week post conception | kidney,0.7418841211594254,10 week post conception,kidney,0
TCGA-55-8207-01,toddler | testis,0.5631031552133035,toddler,testis,1
TCGA-EL-A3GS-01,19 week post conception | kidney,0.52843274103306,19 week post conception,kidney,1
TCGA-EK-A2RM-01,9 week post conception | liver,0.6569954904554338,9 week post conception,liver,0
TCGA-13-0766-01,9 week post conception | liver,0.5580685857026415,9 week post conception,liver,3
TCGA-BH-A42T-01,8 week post conception | liver,0.7119995246698338,8 week post conception,liver,2
TCGA-DU-5855-01,11 week post conception | hindbrain,0.43031047024268954,11 week post conception,hindbrain,1
TCGA-BP-5007-01,toddler | testis,0.5090297007723444,toddler,testis,1
TCGA-BQ-5885-01,toddler | kidney,0.6239959723880546,toddler,kidney,3
TCGA-AR-A1AL-01,16 week post conception | kidney,0.475643102819152,16 week post conception,kidney,2
TCGA-C5-A7X3-01,9 week post conception | liver,0.6392070872910027,9 week post conception,liver,0
TCGA-CV-6933-01,13 week post conception | liver,0.7081867636905541,13 week post conception,liver,0
TCGA-E2-A1LS-01,16 week post conception | heart,0.6354911793797835,16 week post conception,heart,3
TCGA-61-1907-01,10 week post conception | liver,0.746802598992085,10 week post conception,liver,0
TCGA-WB-A80P-01,11 week post conception | hindbrain,0.5752377111182276,11 week post conception,hindbrain,1
TCGA-JX-A3Q8-01,9 week post conception | liver,0.620061099211159,9 week post conception,liver,0
TCGA-G3-AAV7-01,4 week post conception | liver,0.6669114369784037,4 week post conception,liver,2
TCGA-BP-4329-01,toddler | testis,0.5454205037710277,toddler,testis,1
TCGA-SL-A6JA-01,8 week post conception | testis,0.5518979088947993,8 week post conception,testis,0
TCGA-NJ-A55R-01,toddler | kidney,0.7786582465251135,toddler,kidney,1
TCGA-39-5040-01,4 week post conception | hindbrain,0.6808789908180588,4 week post conception,hindbrain,2
TCGA-XK-AAIW-01,4 week post conception | ovary,0.6984732491316996,4 week post conception,ovary,2
TCGA-19-2620-01,neonate | forebrain,0.5553911446199943,neonate,forebrain,1
TCGA-HT-A74K-01,11 week post conception | forebrain,0.5475588916665033,11 week post conception,forebrain,1
TCGA-R6-A8W8-01,16 week post conception | kidney,0.7339869252640023,16 week post conception,kidney,2
TCGA-ET-A39R-01,infant | testis,0.6075456077270622,infant,testis,1
TCGA-GM-A2DA-01,middle adult | heart,0.6926143624059453,middle adult,heart,0
TCGA-O9-A75Z-01,infant | testis,0.47788235415751545,infant,testis,1
TCGA-50-5931-01,7 week post conception | kidney,0.6824842782834889,7 week post conception,kidney,2
TCGA-MS-A51U-01,toddler | testis,0.6118808177923384,toddler,testis,1
TCGA-ZH-A8Y2-01,12 week post conception | kidney,0.7077447678867004,12 week post conception,kidney,2
TCGA-GM-A5PV-01,infant | testis,0.559579931846764,infant,testis,1
TCGA-49-4514-01,9 week post conception | liver,0.5502781224629508,9 week post conception,liver,3
TCGA-ZC-AAAH-01,9 week post conception | liver,0.5500872483874558,9 week post conception,liver,0
TCGA-B8-4148-01,16 week post conception | testis,0.549603648049177,16 week post conception,testis,1
TCGA-CJ-4892-01,infant | testis,0.5062255950275719,infant,testis,1
TCGA-CV-A6K0-01,7 week post conception | heart,0.7210401919037269,7 week post conception,heart,2
TCGA-BH-A1EV-01,16 week post conception | kidney,0.7008147144873758,16 week post conception,kidney,2
TCGA-E7-A85H-01,4 week post conception | kidney,0.6827333838461548,4 week post conception,kidney,0
TCGA-EM-A3FQ-01,infant | testis,0.5178720026394895,infant,testis,1
TCGA-EO-A3B1-01,4 week post conception | kidney,0.5958462820819441,4 week post conception,kidney,2
TCGA-TQ-A7RP-01,neonate | forebrain,0.48156333970979537,neonate,forebrain,1
TCGA-N9-A4Q8-01,5 week post conception | forebrain,0.6054112092478717,5 week post conception,forebrain,0
TCGA-BQ-7060-01,toddler | testis,0.5848062601361701,toddler,testis,1
TCGA-QG-A5Z2-01,8 week post conception | kidney,0.7160738280403629,8 week post conception,kidney,2
TCGA-D7-6817-01,16 week post conception | liver,0.7524827975099242,16 week post conception,liver,2
TCGA-4Z-AA7Q-01,10 week post conception | liver,0.5714340157893578,10 week post conception,liver,0
TCGA-S7-A7WL-01,11 week post conception | hindbrain,0.5336698926935165,11 week post conception,hindbrain,1
TCGA-DX-A1L0-01,7 week post conception | heart,0.7738016821004602,7 week post conception,heart,2
TCGA-S9-A6TZ-01,10 week post conception | hindbrain,0.42728551087159083,10 week post conception,hindbrain,1
TCGA-96-7545-01,16 week post conception | heart,0.5840343028918342,16 week post conception,heart,2
TCGA-E1-A7Z4-01,11 week post conception | hindbrain,0.45183126958514086,11 week post conception,hindbrain,1
TCGA-D8-A13Z-01,4 week post conception | ovary,0.6204512315987141,4 week post conception,ovary,2
TCGA-BH-A1FB-01,16 week post conception | kidney,0.46801349361478606,16 week post conception,kidney,2
TCGA-RW-A684-01,11 week post conception | hindbrain,0.5431254504499929,11 week post conception,hindbrain,1
TCGA-HC-A8D0-01,infant | testis,0.5720317968969242,infant,testis,1
TCGA-30-1718-01,5 week post conception | forebrain,0.6765436296207736,5 week post conception,forebrain,0
TCGA-BB-7862-01,4 week post conception | hindbrain,0.6104975064328848,4 week post conception,hindbrain,2
TCGA-BW-A5NO-01,toddler | liver,0.5598058191849145,toddler,liver,3
TCGA-G3-A25X-01,9 week post conception | liver,0.5205189949425444,9 week post conception,liver,3
TCGA-VQ-A8DU-01,school age child | kidney,0.6598672348855503,school age child,kidney,0
TCGA-56-7580-01,4 week post conception | forebrain,0.5746969170096967,4 week post conception,forebrain,0
TCGA-BP-4975-01,19 week post conception | kidney,0.5829016582406654,19 week post conception,kidney,1
TCGA-IG-A97I-01,5 week post conception | forebrain,0.7226167563988999,5 week post conception,forebrain,2
TCGA-KF-A41W-01,4 week post conception | kidney,0.7502262408784094,4 week post conception,kidney,2
TCGA-HT-8011-01,7 week post conception | forebrain,0.5619149737410561,7 week post conception,forebrain,2
TCGA-CV-7437-01,4 week post conception | hindbrain,0.725160110952187,4 week post conception,hindbrain,0
TCGA-09-0369-01,9 week post conception | forebrain,0.5885539914413059,9 week post conception,forebrain,0
TCGA-ED-A7XP-01,toddler | liver,0.6865990153448284,toddler,liver,3
TCGA-ZF-AA5P-01,neonate | heart,0.6985836807443212,neonate,heart,0
TCGA-PT-A8TR-01,19 week post conception | forebrain,0.7531307275118708,19 week post conception,forebrain,1
TCGA-JY-A93D-01,16 week post conception | heart,0.5567734642767598,16 week post conception,heart,2
TCGA-SC-A6LN-01,8 week post conception | testis,0.6835700677052032,8 week post conception,testis,0
TCGA-FD-A43P-01,4 week post conception | forebrain,0.6190220212925448,4 week post conception,forebrain,2
TCGA-60-2711-01,4 week post conception | forebrain,0.5646665971191438,4 week post conception,forebrain,2
TCGA-DD-A4NE-01,middle adult | liver,0.629036712167196,middle adult,liver,0
TCGA-QQ-A5VC-01,9 week post conception | heart,0.7390631484625275,9 week post conception,heart,0
TCGA-WY-A85E-01,11 week post conception | hindbrain,0.4525960354944564,11 week post conception,hindbrain,1
TCGA-37-4133-01,5 week post conception | liver,0.7198559814378569,5 week post conception,liver,0
TCGA-2L-AAQL-01,toddler | kidney,0.5560042884721299,toddler,kidney,1
TCGA-G8-6324-01,8 week post conception | testis,0.5735390709688195,8 week post conception,testis,3
TCGA-AC-A5XS-01,10 week post conception | testis,0.7330236384140946,10 week post conception,testis,0
TCGA-ND-A4W6-01,9 week post conception | liver,0.5472190716595329,9 week post conception,liver,0
TCGA-CN-4733-01,13 week post conception | liver,0.6273956934326178,13 week post conception,liver,0
TCGA-W5-AA2Q-01,19 week post conception | kidney,0.6531777093085191,19 week post conception,kidney,1
TCGA-QK-A6IH-01,9 week post conception | liver,0.6191953999170041,9 week post conception,liver,0
TCGA-AG-3725-01,5 week post conception | forebrain,0.7912789105719675,5 week post conception,forebrain,0
TCGA-C5-A2LT-01,5 week post conception | forebrain,0.7378583678280545,5 week post conception,forebrain,0
TCGA-AC-A6IW-01,10 week post conception | liver,0.632819278231744,10 week post conception,liver,0
